"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1.313172,1.313172,1.313172,1.313172,1.313172,0.580264,0.580264,0.580264,0.580264,0.580264,0.409908,0.409908,0.409908,0.409908,0.409908,0.518716,0.518716,0.518716,0.518716,0.518716,0.58742,0.58742,0.58742,0.58742,0.58742,0.4418,0.4418,0.4418,0.4418,0.4418,0.361736,0.361736,0.361736,0.361736,0.361736,0.213184,0.213184,0.213184,0.213184,0.213184,0.167432,0.167432,0.167432,0.167432,0.167432,1.034112,1.034112,1.034112,1.034112,1.034112,0.166764,0.166764,0.166764,0.166764,0.166764,0.163732,0.163732,0.163732,0.163732,0.163732,0.107116,0.107116,0.107116,0.107116,0.107116,0.082888,0.082888,0.082888,0.082888,0.082888,0.061688,0.061688,0.061688,0.061688,0.061688,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032
1.313172,1.313172,1.313172,1.313172,1.313172,0.580264,0.580264,0.580264,0.580264,0.580264,0.409908,0.409908,0.409908,0.409908,0.409908,0.518716,0.518716,0.518716,0.518716,0.518716,0.58742,0.58742,0.58742,0.58742,0.58742,0.4418,0.4418,0.4418,0.4418,0.4418,0.361736,0.361736,0.361736,0.361736,0.361736,0.213184,0.213184,0.213184,0.213184,0.213184,0.167432,0.167432,0.167432,0.167432,0.167432,1.034112,1.034112,1.034112,1.034112,1.034112,0.166764,0.166764,0.166764,0.166764,0.166764,0.163732,0.163732,0.163732,0.163732,0.163732,0.107116,0.107116,0.107116,0.107116,0.107116,0.082888,0.082888,0.082888,0.082888,0.082888,0.061688,0.061688,0.061688,0.061688,0.061688,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032
1.313172,1.313172,1.313172,1.313172,1.313172,0.580264,0.580264,0.580264,0.580264,0.580264,0.409908,0.409908,0.409908,0.409908,0.409908,0.518716,0.518716,0.518716,0.518716,0.518716,0.58742,0.58742,0.58742,0.58742,0.58742,0.4418,0.4418,0.4418,0.4418,0.4418,0.361736,0.361736,0.361736,0.361736,0.361736,0.213184,0.213184,0.213184,0.213184,0.213184,0.167432,0.167432,0.167432,0.167432,0.167432,1.034112,1.034112,1.034112,1.034112,1.034112,0.166764,0.166764,0.166764,0.166764,0.166764,0.163732,0.163732,0.163732,0.163732,0.163732,0.107116,0.107116,0.107116,0.107116,0.107116,0.082888,0.082888,0.082888,0.082888,0.082888,0.061688,0.061688,0.061688,0.061688,0.061688,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032
1.313172,1.313172,1.313172,1.313172,1.313172,0.580264,0.580264,0.580264,0.580264,0.580264,0.409908,0.409908,0.409908,0.409908,0.409908,0.518716,0.518716,0.518716,0.518716,0.518716,0.58742,0.58742,0.58742,0.58742,0.58742,0.4418,0.4418,0.4418,0.4418,0.4418,0.361736,0.361736,0.361736,0.361736,0.361736,0.213184,0.213184,0.213184,0.213184,0.213184,0.167432,0.167432,0.167432,0.167432,0.167432,1.034112,1.034112,1.034112,1.034112,1.034112,0.166764,0.166764,0.166764,0.166764,0.166764,0.163732,0.163732,0.163732,0.163732,0.163732,0.107116,0.107116,0.107116,0.107116,0.107116,0.082888,0.082888,0.082888,0.082888,0.082888,0.061688,0.061688,0.061688,0.061688,0.061688,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032
1.313172,1.313172,1.313172,1.313172,1.313172,0.580264,0.580264,0.580264,0.580264,0.580264,0.409908,0.409908,0.409908,0.409908,0.409908,0.518716,0.518716,0.518716,0.518716,0.518716,0.58742,0.58742,0.58742,0.58742,0.58742,0.4418,0.4418,0.4418,0.4418,0.4418,0.361736,0.361736,0.361736,0.361736,0.361736,0.213184,0.213184,0.213184,0.213184,0.213184,0.167432,0.167432,0.167432,0.167432,0.167432,1.034112,1.034112,1.034112,1.034112,1.034112,0.166764,0.166764,0.166764,0.166764,0.166764,0.163732,0.163732,0.163732,0.163732,0.163732,0.107116,0.107116,0.107116,0.107116,0.107116,0.082888,0.082888,0.082888,0.082888,0.082888,0.061688,0.061688,0.061688,0.061688,0.061688,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032,0.056032
1.0122,1.0122,1.0122,1.0122,1.0122,1.044664,1.044664,1.044664,1.044664,1.044664,0.491508,0.491508,0.491508,0.491508,0.491508,0.270796,0.270796,0.270796,0.270796,0.270796,0.505208,0.505208,0.505208,0.505208,0.505208,0.465748,0.465748,0.465748,0.465748,0.465748,0.43694,0.43694,0.43694,0.43694,0.43694,0.32104,0.32104,0.32104,0.32104,0.32104,0.210336,0.210336,0.210336,0.210336,0.210336,2.893612,2.893612,2.893612,2.893612,2.893612,0.1647,0.1647,0.1647,0.1647,0.1647,0.151408,0.151408,0.151408,0.151408,0.151408,0.113348,0.113348,0.113348,0.113348,0.113348,0.084048,0.084048,0.084048,0.084048,0.084048,0.062024,0.062024,0.062024,0.062024,0.062024,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559
1.0122,1.0122,1.0122,1.0122,1.0122,1.044664,1.044664,1.044664,1.044664,1.044664,0.491508,0.491508,0.491508,0.491508,0.491508,0.270796,0.270796,0.270796,0.270796,0.270796,0.505208,0.505208,0.505208,0.505208,0.505208,0.465748,0.465748,0.465748,0.465748,0.465748,0.43694,0.43694,0.43694,0.43694,0.43694,0.32104,0.32104,0.32104,0.32104,0.32104,0.210336,0.210336,0.210336,0.210336,0.210336,2.893612,2.893612,2.893612,2.893612,2.893612,0.1647,0.1647,0.1647,0.1647,0.1647,0.151408,0.151408,0.151408,0.151408,0.151408,0.113348,0.113348,0.113348,0.113348,0.113348,0.084048,0.084048,0.084048,0.084048,0.084048,0.062024,0.062024,0.062024,0.062024,0.062024,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559
1.0122,1.0122,1.0122,1.0122,1.0122,1.044664,1.044664,1.044664,1.044664,1.044664,0.491508,0.491508,0.491508,0.491508,0.491508,0.270796,0.270796,0.270796,0.270796,0.270796,0.505208,0.505208,0.505208,0.505208,0.505208,0.465748,0.465748,0.465748,0.465748,0.465748,0.43694,0.43694,0.43694,0.43694,0.43694,0.32104,0.32104,0.32104,0.32104,0.32104,0.210336,0.210336,0.210336,0.210336,0.210336,2.893612,2.893612,2.893612,2.893612,2.893612,0.1647,0.1647,0.1647,0.1647,0.1647,0.151408,0.151408,0.151408,0.151408,0.151408,0.113348,0.113348,0.113348,0.113348,0.113348,0.084048,0.084048,0.084048,0.084048,0.084048,0.062024,0.062024,0.062024,0.062024,0.062024,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559
1.0122,1.0122,1.0122,1.0122,1.0122,1.044664,1.044664,1.044664,1.044664,1.044664,0.491508,0.491508,0.491508,0.491508,0.491508,0.270796,0.270796,0.270796,0.270796,0.270796,0.505208,0.505208,0.505208,0.505208,0.505208,0.465748,0.465748,0.465748,0.465748,0.465748,0.43694,0.43694,0.43694,0.43694,0.43694,0.32104,0.32104,0.32104,0.32104,0.32104,0.210336,0.210336,0.210336,0.210336,0.210336,2.893612,2.893612,2.893612,2.893612,2.893612,0.1647,0.1647,0.1647,0.1647,0.1647,0.151408,0.151408,0.151408,0.151408,0.151408,0.113348,0.113348,0.113348,0.113348,0.113348,0.084048,0.084048,0.084048,0.084048,0.084048,0.062024,0.062024,0.062024,0.062024,0.062024,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559
1.0122,1.0122,1.0122,1.0122,1.0122,1.044664,1.044664,1.044664,1.044664,1.044664,0.491508,0.491508,0.491508,0.491508,0.491508,0.270796,0.270796,0.270796,0.270796,0.270796,0.505208,0.505208,0.505208,0.505208,0.505208,0.465748,0.465748,0.465748,0.465748,0.465748,0.43694,0.43694,0.43694,0.43694,0.43694,0.32104,0.32104,0.32104,0.32104,0.32104,0.210336,0.210336,0.210336,0.210336,0.210336,2.893612,2.893612,2.893612,2.893612,2.893612,0.1647,0.1647,0.1647,0.1647,0.1647,0.151408,0.151408,0.151408,0.151408,0.151408,0.113348,0.113348,0.113348,0.113348,0.113348,0.084048,0.084048,0.084048,0.084048,0.084048,0.062024,0.062024,0.062024,0.062024,0.062024,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559,0.0559
0.48078,0.48078,0.48078,0.48078,0.48078,4.376196,4.376196,4.376196,4.376196,4.376196,0.83226,0.83226,0.83226,0.83226,0.83226,0.351152,0.351152,0.351152,0.351152,0.351152,0.298128,0.298128,0.298128,0.298128,0.298128,0.311996,0.311996,0.311996,0.311996,0.311996,0.404832,0.404832,0.404832,0.404832,0.404832,0.345024,0.345024,0.345024,0.345024,0.345024,0.248192,0.248192,0.248192,0.248192,0.248192,1.56388,1.56388,1.56388,1.56388,1.56388,0.168164,0.168164,0.168164,0.168164,0.168164,0.121336,0.121336,0.121336,0.121336,0.121336,0.086816,0.086816,0.086816,0.086816,0.086816,0.075924,0.075924,0.075924,0.075924,0.075924,0.062128,0.062128,0.062128,0.062128,0.062128,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784
0.48078,0.48078,0.48078,0.48078,0.48078,4.376196,4.376196,4.376196,4.376196,4.376196,0.83226,0.83226,0.83226,0.83226,0.83226,0.351152,0.351152,0.351152,0.351152,0.351152,0.298128,0.298128,0.298128,0.298128,0.298128,0.311996,0.311996,0.311996,0.311996,0.311996,0.404832,0.404832,0.404832,0.404832,0.404832,0.345024,0.345024,0.345024,0.345024,0.345024,0.248192,0.248192,0.248192,0.248192,0.248192,1.56388,1.56388,1.56388,1.56388,1.56388,0.168164,0.168164,0.168164,0.168164,0.168164,0.121336,0.121336,0.121336,0.121336,0.121336,0.086816,0.086816,0.086816,0.086816,0.086816,0.075924,0.075924,0.075924,0.075924,0.075924,0.062128,0.062128,0.062128,0.062128,0.062128,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784
0.48078,0.48078,0.48078,0.48078,0.48078,4.376196,4.376196,4.376196,4.376196,4.376196,0.83226,0.83226,0.83226,0.83226,0.83226,0.351152,0.351152,0.351152,0.351152,0.351152,0.298128,0.298128,0.298128,0.298128,0.298128,0.311996,0.311996,0.311996,0.311996,0.311996,0.404832,0.404832,0.404832,0.404832,0.404832,0.345024,0.345024,0.345024,0.345024,0.345024,0.248192,0.248192,0.248192,0.248192,0.248192,1.56388,1.56388,1.56388,1.56388,1.56388,0.168164,0.168164,0.168164,0.168164,0.168164,0.121336,0.121336,0.121336,0.121336,0.121336,0.086816,0.086816,0.086816,0.086816,0.086816,0.075924,0.075924,0.075924,0.075924,0.075924,0.062128,0.062128,0.062128,0.062128,0.062128,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784
0.48078,0.48078,0.48078,0.48078,0.48078,4.376196,4.376196,4.376196,4.376196,4.376196,0.83226,0.83226,0.83226,0.83226,0.83226,0.351152,0.351152,0.351152,0.351152,0.351152,0.298128,0.298128,0.298128,0.298128,0.298128,0.311996,0.311996,0.311996,0.311996,0.311996,0.404832,0.404832,0.404832,0.404832,0.404832,0.345024,0.345024,0.345024,0.345024,0.345024,0.248192,0.248192,0.248192,0.248192,0.248192,1.56388,1.56388,1.56388,1.56388,1.56388,0.168164,0.168164,0.168164,0.168164,0.168164,0.121336,0.121336,0.121336,0.121336,0.121336,0.086816,0.086816,0.086816,0.086816,0.086816,0.075924,0.075924,0.075924,0.075924,0.075924,0.062128,0.062128,0.062128,0.062128,0.062128,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784
0.48078,0.48078,0.48078,0.48078,0.48078,4.376196,4.376196,4.376196,4.376196,4.376196,0.83226,0.83226,0.83226,0.83226,0.83226,0.351152,0.351152,0.351152,0.351152,0.351152,0.298128,0.298128,0.298128,0.298128,0.298128,0.311996,0.311996,0.311996,0.311996,0.311996,0.404832,0.404832,0.404832,0.404832,0.404832,0.345024,0.345024,0.345024,0.345024,0.345024,0.248192,0.248192,0.248192,0.248192,0.248192,1.56388,1.56388,1.56388,1.56388,1.56388,0.168164,0.168164,0.168164,0.168164,0.168164,0.121336,0.121336,0.121336,0.121336,0.121336,0.086816,0.086816,0.086816,0.086816,0.086816,0.075924,0.075924,0.075924,0.075924,0.075924,0.062128,0.062128,0.062128,0.062128,0.062128,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784,0.056784
0.339924,0.339924,0.339924,0.339924,0.339924,1.742692,1.742692,1.742692,1.742692,1.742692,4.107504,4.107504,4.107504,4.107504,4.107504,0.837444,0.837444,0.837444,0.837444,0.837444,0.37562,0.37562,0.37562,0.37562,0.37562,0.222432,0.222432,0.222432,0.222432,0.222432,0.339176,0.339176,0.339176,0.339176,0.339176,0.303868,0.303868,0.303868,0.303868,0.303868,0.286544,0.286544,0.286544,0.286544,0.286544,0.614784,0.614784,0.614784,0.614784,0.614784,0.191176,0.191176,0.191176,0.191176,0.191176,0.127076,0.127076,0.127076,0.127076,0.127076,0.088184,0.088184,0.088184,0.088184,0.088184,0.071804,0.071804,0.071804,0.071804,0.071804,0.058156,0.058156,0.058156,0.058156,0.058156,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541
0.339924,0.339924,0.339924,0.339924,0.339924,1.742692,1.742692,1.742692,1.742692,1.742692,4.107504,4.107504,4.107504,4.107504,4.107504,0.837444,0.837444,0.837444,0.837444,0.837444,0.37562,0.37562,0.37562,0.37562,0.37562,0.222432,0.222432,0.222432,0.222432,0.222432,0.339176,0.339176,0.339176,0.339176,0.339176,0.303868,0.303868,0.303868,0.303868,0.303868,0.286544,0.286544,0.286544,0.286544,0.286544,0.614784,0.614784,0.614784,0.614784,0.614784,0.191176,0.191176,0.191176,0.191176,0.191176,0.127076,0.127076,0.127076,0.127076,0.127076,0.088184,0.088184,0.088184,0.088184,0.088184,0.071804,0.071804,0.071804,0.071804,0.071804,0.058156,0.058156,0.058156,0.058156,0.058156,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541
0.339924,0.339924,0.339924,0.339924,0.339924,1.742692,1.742692,1.742692,1.742692,1.742692,4.107504,4.107504,4.107504,4.107504,4.107504,0.837444,0.837444,0.837444,0.837444,0.837444,0.37562,0.37562,0.37562,0.37562,0.37562,0.222432,0.222432,0.222432,0.222432,0.222432,0.339176,0.339176,0.339176,0.339176,0.339176,0.303868,0.303868,0.303868,0.303868,0.303868,0.286544,0.286544,0.286544,0.286544,0.286544,0.614784,0.614784,0.614784,0.614784,0.614784,0.191176,0.191176,0.191176,0.191176,0.191176,0.127076,0.127076,0.127076,0.127076,0.127076,0.088184,0.088184,0.088184,0.088184,0.088184,0.071804,0.071804,0.071804,0.071804,0.071804,0.058156,0.058156,0.058156,0.058156,0.058156,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541
0.339924,0.339924,0.339924,0.339924,0.339924,1.742692,1.742692,1.742692,1.742692,1.742692,4.107504,4.107504,4.107504,4.107504,4.107504,0.837444,0.837444,0.837444,0.837444,0.837444,0.37562,0.37562,0.37562,0.37562,0.37562,0.222432,0.222432,0.222432,0.222432,0.222432,0.339176,0.339176,0.339176,0.339176,0.339176,0.303868,0.303868,0.303868,0.303868,0.303868,0.286544,0.286544,0.286544,0.286544,0.286544,0.614784,0.614784,0.614784,0.614784,0.614784,0.191176,0.191176,0.191176,0.191176,0.191176,0.127076,0.127076,0.127076,0.127076,0.127076,0.088184,0.088184,0.088184,0.088184,0.088184,0.071804,0.071804,0.071804,0.071804,0.071804,0.058156,0.058156,0.058156,0.058156,0.058156,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541
0.339924,0.339924,0.339924,0.339924,0.339924,1.742692,1.742692,1.742692,1.742692,1.742692,4.107504,4.107504,4.107504,4.107504,4.107504,0.837444,0.837444,0.837444,0.837444,0.837444,0.37562,0.37562,0.37562,0.37562,0.37562,0.222432,0.222432,0.222432,0.222432,0.222432,0.339176,0.339176,0.339176,0.339176,0.339176,0.303868,0.303868,0.303868,0.303868,0.303868,0.286544,0.286544,0.286544,0.286544,0.286544,0.614784,0.614784,0.614784,0.614784,0.614784,0.191176,0.191176,0.191176,0.191176,0.191176,0.127076,0.127076,0.127076,0.127076,0.127076,0.088184,0.088184,0.088184,0.088184,0.088184,0.071804,0.071804,0.071804,0.071804,0.071804,0.058156,0.058156,0.058156,0.058156,0.058156,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541
0.474956,0.474956,0.474956,0.474956,0.474956,0.401852,0.401852,0.401852,0.401852,0.401852,1.553612,1.553612,1.553612,1.553612,1.553612,1.726764,1.726764,1.726764,1.726764,1.726764,0.775292,0.775292,0.775292,0.775292,0.775292,0.347648,0.347648,0.347648,0.347648,0.347648,0.253616,0.253616,0.253616,0.253616,0.253616,0.233908,0.233908,0.233908,0.233908,0.233908,0.268704,0.268704,0.268704,0.268704,0.268704,0.385568,0.385568,0.385568,0.385568,0.385568,0.194068,0.194068,0.194068,0.194068,0.194068,0.146092,0.146092,0.146092,0.146092,0.146092,0.091632,0.091632,0.091632,0.091632,0.091632,0.068584,0.068584,0.068584,0.068584,0.068584,0.066536,0.066536,0.066536,0.066536,0.066536,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352
0.474956,0.474956,0.474956,0.474956,0.474956,0.401852,0.401852,0.401852,0.401852,0.401852,1.553612,1.553612,1.553612,1.553612,1.553612,1.726764,1.726764,1.726764,1.726764,1.726764,0.775292,0.775292,0.775292,0.775292,0.775292,0.347648,0.347648,0.347648,0.347648,0.347648,0.253616,0.253616,0.253616,0.253616,0.253616,0.233908,0.233908,0.233908,0.233908,0.233908,0.268704,0.268704,0.268704,0.268704,0.268704,0.385568,0.385568,0.385568,0.385568,0.385568,0.194068,0.194068,0.194068,0.194068,0.194068,0.146092,0.146092,0.146092,0.146092,0.146092,0.091632,0.091632,0.091632,0.091632,0.091632,0.068584,0.068584,0.068584,0.068584,0.068584,0.066536,0.066536,0.066536,0.066536,0.066536,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352
0.474956,0.474956,0.474956,0.474956,0.474956,0.401852,0.401852,0.401852,0.401852,0.401852,1.553612,1.553612,1.553612,1.553612,1.553612,1.726764,1.726764,1.726764,1.726764,1.726764,0.775292,0.775292,0.775292,0.775292,0.775292,0.347648,0.347648,0.347648,0.347648,0.347648,0.253616,0.253616,0.253616,0.253616,0.253616,0.233908,0.233908,0.233908,0.233908,0.233908,0.268704,0.268704,0.268704,0.268704,0.268704,0.385568,0.385568,0.385568,0.385568,0.385568,0.194068,0.194068,0.194068,0.194068,0.194068,0.146092,0.146092,0.146092,0.146092,0.146092,0.091632,0.091632,0.091632,0.091632,0.091632,0.068584,0.068584,0.068584,0.068584,0.068584,0.066536,0.066536,0.066536,0.066536,0.066536,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352
0.474956,0.474956,0.474956,0.474956,0.474956,0.401852,0.401852,0.401852,0.401852,0.401852,1.553612,1.553612,1.553612,1.553612,1.553612,1.726764,1.726764,1.726764,1.726764,1.726764,0.775292,0.775292,0.775292,0.775292,0.775292,0.347648,0.347648,0.347648,0.347648,0.347648,0.253616,0.253616,0.253616,0.253616,0.253616,0.233908,0.233908,0.233908,0.233908,0.233908,0.268704,0.268704,0.268704,0.268704,0.268704,0.385568,0.385568,0.385568,0.385568,0.385568,0.194068,0.194068,0.194068,0.194068,0.194068,0.146092,0.146092,0.146092,0.146092,0.146092,0.091632,0.091632,0.091632,0.091632,0.091632,0.068584,0.068584,0.068584,0.068584,0.068584,0.066536,0.066536,0.066536,0.066536,0.066536,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352,0.057352
